Accuracy,P,I,D,Ilength,Dlength
10.65290018282218,0.1,0.0,0.0,2,2
10.65290018282218,0.1,0.0,0.0,2,3
10.65290018282218,0.1,0.0,0.0,2,4
10.65290018282218,0.1,0.0,0.0,2,5
10.65290018282218,0.1,0.0,0.0,3,2
10.65290018282218,0.1,0.0,0.0,3,3
10.65290018282218,0.1,0.0,0.0,3,4
10.65290018282218,0.1,0.0,0.0,3,5
10.65290018282218,0.1,0.0,0.0,4,2
10.65290018282218,0.1,0.0,0.0,4,3
10.65290018282218,0.1,0.0,0.0,4,4
10.65290018282218,0.1,0.0,0.0,4,5
10.65290018282218,0.1,0.0,0.0,5,2
10.65290018282218,0.1,0.0,0.0,5,3
10.65290018282218,0.1,0.0,0.0,5,4
10.65290018282218,0.1,0.0,0.0,5,5
11.819510744197686,0.09,0.0,0.0,2,2
11.819510744197686,0.09,0.0,0.0,2,3
11.819510744197686,0.09,0.0,0.0,2,4
11.819510744197686,0.09,0.0,0.0,2,5
11.819510744197686,0.09,0.0,0.0,3,2
11.819510744197686,0.09,0.0,0.0,3,3
11.819510744197686,0.09,0.0,0.0,3,4
11.819510744197686,0.09,0.0,0.0,3,5
11.819510744197686,0.09,0.0,0.0,4,2
11.819510744197686,0.09,0.0,0.0,4,3
11.819510744197686,0.09,0.0,0.0,4,4
11.819510744197686,0.09,0.0,0.0,4,5
11.819510744197686,0.09,0.0,0.0,5,2
11.819510744197686,0.09,0.0,0.0,5,3
11.819510744197686,0.09,0.0,0.0,5,4
11.819510744197686,0.09,0.0,0.0,5,5
13.28511959654864,0.08,0.0,0.0,2,2
13.28511959654864,0.08,0.0,0.0,2,3
13.28511959654864,0.08,0.0,0.0,2,4
13.28511959654864,0.08,0.0,0.0,2,5
13.28511959654864,0.08,0.0,0.0,3,2
13.28511959654864,0.08,0.0,0.0,3,3
13.28511959654864,0.08,0.0,0.0,3,4
13.28511959654864,0.08,0.0,0.0,3,5
13.28511959654864,0.08,0.0,0.0,4,2
13.28511959654864,0.08,0.0,0.0,4,3
13.28511959654864,0.08,0.0,0.0,4,4
13.28511959654864,0.08,0.0,0.0,4,5
13.28511959654864,0.08,0.0,0.0,5,2
13.28511959654864,0.08,0.0,0.0,5,3
13.28511959654864,0.08,0.0,0.0,5,4
13.28511959654864,0.08,0.0,0.0,5,5
15.161640210836936,0.07,0.0,0.0,2,2
15.161640210836936,0.07,0.0,0.0,2,3
15.161640210836936,0.07,0.0,0.0,2,4
15.161640210836936,0.07,0.0,0.0,2,5
15.161640210836936,0.07,0.0,0.0,3,2
15.161640210836936,0.07,0.0,0.0,3,3
15.161640210836936,0.07,0.0,0.0,3,4
15.161640210836936,0.07,0.0,0.0,3,5
15.161640210836936,0.07,0.0,0.0,4,2
15.161640210836936,0.07,0.0,0.0,4,3
15.161640210836936,0.07,0.0,0.0,4,4
15.161640210836936,0.07,0.0,0.0,4,5
15.161640210836936,0.07,0.0,0.0,5,2
15.161640210836936,0.07,0.0,0.0,5,3
15.161640210836936,0.07,0.0,0.0,5,4
15.161640210836936,0.07,0.0,0.0,5,5
17.664350948419553,0.06,0.0,0.0,2,2
17.664350948419553,0.06,0.0,0.0,2,3
17.664350948419553,0.06,0.0,0.0,2,4
17.664350948419553,0.06,0.0,0.0,2,5
17.664350948419553,0.06,0.0,0.0,3,2
17.664350948419553,0.06,0.0,0.0,3,3
17.664350948419553,0.06,0.0,0.0,3,4
17.664350948419553,0.06,0.0,0.0,3,5
17.664350948419553,0.06,0.0,0.0,4,2
17.664350948419553,0.06,0.0,0.0,4,3
17.664350948419553,0.06,0.0,0.0,4,4
17.664350948419553,0.06,0.0,0.0,4,5
17.664350948419553,0.06,0.0,0.0,5,2
17.664350948419553,0.06,0.0,0.0,5,3
17.664350948419553,0.06,0.0,0.0,5,4
17.664350948419553,0.06,0.0,0.0,5,5
21.17862771771172,0.05,0.0,0.0,2,2
21.17862771771172,0.05,0.0,0.0,2,3
21.17862771771172,0.05,0.0,0.0,2,4
21.17862771771172,0.05,0.0,0.0,2,5
21.17862771771172,0.05,0.0,0.0,3,2
21.17862771771172,0.05,0.0,0.0,3,3
21.17862771771172,0.05,0.0,0.0,3,4
21.17862771771172,0.05,0.0,0.0,3,5
21.17862771771172,0.05,0.0,0.0,4,2
21.17862771771172,0.05,0.0,0.0,4,3
21.17862771771172,0.05,0.0,0.0,4,4
21.17862771771172,0.05,0.0,0.0,4,5
21.17862771771172,0.05,0.0,0.0,5,2
21.17862771771172,0.05,0.0,0.0,5,3
21.17862771771172,0.05,0.0,0.0,5,4
21.17862771771172,0.05,0.0,0.0,5,5
26.495919907180877,0.04,0.0,0.0,2,2
26.495919907180877,0.04,0.0,0.0,2,3
26.495919907180877,0.04,0.0,0.0,2,4
26.495919907180877,0.04,0.0,0.0,2,5
26.495919907180877,0.04,0.0,0.0,3,2
26.495919907180877,0.04,0.0,0.0,3,3
26.495919907180877,0.04,0.0,0.0,3,4
26.495919907180877,0.04,0.0,0.0,3,5
26.495919907180877,0.04,0.0,0.0,4,2
26.495919907180877,0.04,0.0,0.0,4,3
26.495919907180877,0.04,0.0,0.0,4,4
26.495919907180877,0.04,0.0,0.0,4,5
26.495919907180877,0.04,0.0,0.0,5,2
26.495919907180877,0.04,0.0,0.0,5,3
26.495919907180877,0.04,0.0,0.0,5,4
26.495919907180877,0.04,0.0,0.0,5,5
35.74462425593356,0.03,0.0,0.0,2,2
35.74462425593356,0.03,0.0,0.0,2,3
35.74462425593356,0.03,0.0,0.0,2,4
35.74462425593356,0.03,0.0,0.0,2,5
35.74462425593356,0.03,0.0,0.0,3,2
35.74462425593356,0.03,0.0,0.0,3,3
35.74462425593356,0.03,0.0,0.0,3,4
35.74462425593356,0.03,0.0,0.0,3,5
35.74462425593356,0.03,0.0,0.0,4,2
35.74462425593356,0.03,0.0,0.0,4,3
35.74462425593356,0.03,0.0,0.0,4,4
35.74462425593356,0.03,0.0,0.0,4,5
35.74462425593356,0.03,0.0,0.0,5,2
35.74462425593356,0.03,0.0,0.0,5,3
35.74462425593356,0.03,0.0,0.0,5,4
35.74462425593356,0.03,0.0,0.0,5,5
56.380753376236555,0.02,0.0,0.0,2,2
56.380753376236555,0.02,0.0,0.0,2,3
56.380753376236555,0.02,0.0,0.0,2,4
56.380753376236555,0.02,0.0,0.0,2,5
56.380753376236555,0.02,0.0,0.0,3,2
56.380753376236555,0.02,0.0,0.0,3,3
56.380753376236555,0.02,0.0,0.0,3,4
56.380753376236555,0.02,0.0,0.0,3,5
56.380753376236555,0.02,0.0,0.0,4,2
56.380753376236555,0.02,0.0,0.0,4,3
56.380753376236555,0.02,0.0,0.0,4,4
56.380753376236555,0.02,0.0,0.0,4,5
56.380753376236555,0.02,0.0,0.0,5,2
56.380753376236555,0.02,0.0,0.0,5,3
56.380753376236555,0.02,0.0,0.0,5,4
56.380753376236555,0.02,0.0,0.0,5,5
123.55704868201958,0.01,0.0,0.0,2,2
123.55704868201958,0.01,0.0,0.0,2,3
123.55704868201958,0.01,0.0,0.0,2,4
123.55704868201958,0.01,0.0,0.0,2,5
123.55704868201958,0.01,0.0,0.0,3,2
123.55704868201958,0.01,0.0,0.0,3,3
123.55704868201958,0.01,0.0,0.0,3,4
123.55704868201958,0.01,0.0,0.0,3,5
123.55704868201958,0.01,0.0,0.0,4,2
123.55704868201958,0.01,0.0,0.0,4,3
123.55704868201958,0.01,0.0,0.0,4,4
123.55704868201958,0.01,0.0,0.0,4,5
123.55704868201958,0.01,0.0,0.0,5,2
123.55704868201958,0.01,0.0,0.0,5,3
123.55704868201958,0.01,0.0,0.0,5,4
123.55704868201958,0.01,0.0,0.0,5,5
420.8635062819184,0.0,0.0,0.0,2,2
420.8635062819184,0.0,0.0,0.0,2,3
420.8635062819184,0.0,0.0,0.0,2,4
420.8635062819184,0.0,0.0,0.0,2,5
420.8635062819184,0.0,0.0,0.0,3,2
420.8635062819184,0.0,0.0,0.0,3,3
420.8635062819184,0.0,0.0,0.0,3,4
420.8635062819184,0.0,0.0,0.0,3,5
420.8635062819184,0.0,0.0,0.0,4,2
420.8635062819184,0.0,0.0,0.0,4,3
420.8635062819184,0.0,0.0,0.0,4,4
420.8635062819184,0.0,0.0,0.0,4,5
420.8635062819184,0.0,0.0,0.0,5,2
420.8635062819184,0.0,0.0,0.0,5,3
420.8635062819184,0.0,0.0,0.0,5,4
420.8635062819184,0.0,0.0,0.0,5,5
