pFactor,iFactor,dFactor,delay,latency,iLength,dLength,median
0.02,0.48,0.21,0,1,2,2,0.7425340583891256
0.02,0.49,0.25,0,1,2,2,0.5667067357699693
0.03,0.38,0.48,0,1,2,2,0.62699973179582
0.03,0.38,0.49,0,1,2,2,0.545491278233186
0.03,0.39,0.48,0,1,2,2,0.4124854454660323
0.03,0.39,0.49,0,1,2,2,0.6742893532181711
0.03,0.4,0.5,0,1,2,2,0.22503087121074827
0.03,0.43,0.32,0,1,2,2,0.8316985221106421
0.03,0.44,0.27,0,1,2,2,0.8331674904345334
0.03,0.44,0.28,0,1,2,2,0.8205535381344902
0.03,0.44,0.29,0,1,2,2,0.274300561545914
0.03,0.44,0.3,0,1,2,2,0.08792263746853735
0.03,0.44,0.31,0,1,2,2,0.6548465281798883
0.03,0.44,0.35,0,1,2,2,0.18964865573219924
0.03,0.44,0.37,0,1,2,2,0.5921445780506929
0.03,0.45,0.25,0,1,2,2,0.8718832088392503
0.03,0.45,0.26,0,1,2,2,0.351379056481278
0.03,0.45,0.27,0,1,2,2,0.21938676951282332
0.03,0.45,0.28,0,1,2,2,0.48669267809907524
0.03,0.46,0.23,0,1,2,2,0.7124975454053839
0.03,0.46,0.24,0,1,2,2,0.3804327145392108
0.03,0.46,0.25,0,1,2,2,0.14901268735995643
0.03,0.46,0.26,0,1,2,2,0.6829298848998633
0.03,0.48,0.29,0,1,2,2,0.28859775595964265
0.03,0.5,0.18,0,1,2,2,0.7824086219247306
0.04,0.42,0.36,0,1,2,2,0.6638061992345285
0.04,0.43,0.31,0,1,2,2,0.4880716129001996
0.04,0.43,0.32,0,1,2,2,0.38018874240171385
0.04,0.43,0.33,0,1,2,2,0.2603939065787131
0.04,0.43,0.34,0,1,2,2,0.6629679161981983
0.04,0.43,0.4,0,1,2,2,0.8531965386484899
0.04,0.43,0.41,0,1,2,2,0.07822356684623344
0.04,0.44,0.28,0,1,2,2,0.8504210749145216
0.04,0.44,0.29,0,1,2,2,0.5377173615045336
0.04,0.44,0.3,0,1,2,2,0.10181818923328478
0.04,0.44,0.31,0,1,2,2,0.47174059919079525
0.04,0.45,0.25,0,1,2,2,0.9583480553920936
0.04,0.45,0.26,0,1,2,2,0.6929035638878389
0.04,0.45,0.27,0,1,2,2,0.3293964491244594
0.04,0.45,0.28,0,1,2,2,0.1737832675426887
0.04,0.45,0.29,0,1,2,2,0.7300971825825968
0.04,0.49,0.15,0,1,2,2,0.9085711745387925
0.04,0.49,0.16,0,1,2,2,0.8793526341747793
0.04,0.49,0.17,0,1,2,2,0.8009081091184953
0.04,0.49,0.18,0,1,2,2,0.8688370471151927
0.04,0.49,0.19,0,1,2,2,0.8320280309845884
0.04,0.49,0.22,0,1,2,2,0.3682258711618829
0.04,0.5,0.16,0,1,2,2,0.6143634728679359
0.04,0.5,0.28,0,1,2,2,0.015479876077534982
0.05,0.41,0.35,0,1,2,2,0.9216921379530874
0.05,0.41,0.37,0,1,2,2,0.5025079620407382
0.05,0.41,0.4,0,1,2,2,0.5286153834108518
0.05,0.41,0.41,0,1,2,2,0.4902843728603443
0.05,0.42,0.34,0,1,2,2,0.7884838560968461
0.05,0.42,0.35,0,1,2,2,0.050826857931653535
0.05,0.42,0.36,0,1,2,2,0.2120547921230127
0.05,0.42,0.37,0,1,2,2,0.9501743402926621
0.05,0.42,0.44,0,1,2,2,0.1744145734700595
0.05,0.43,0.31,0,1,2,2,0.8671370886242187
0.05,0.43,0.32,0,1,2,2,0.3415478317846379
0.05,0.43,0.33,0,1,2,2,0.002732761881418355
0.05,0.43,0.34,0,1,2,2,0.6732888042638479
0.05,0.44,0.28,0,1,2,2,0.9900246191053554
0.05,0.44,0.29,0,1,2,2,0.6316128797451768
0.05,0.44,0.3,0,1,2,2,0.26162284522658297
0.05,0.44,0.31,0,1,2,2,0.24753361554677156
0.05,0.44,0.32,0,1,2,2,0.8322512816306329
0.05,0.48,0.16,0,1,2,2,0.9411502528565734
0.05,0.48,0.17,0,1,2,2,0.8581536718081253
0.05,0.48,0.18,0,1,2,2,0.7584968667336796
0.05,0.48,0.19,0,1,2,2,0.5812990667035365
0.05,0.48,0.2,0,1,2,2,0.6187434646343206
0.05,0.48,0.21,0,1,2,2,0.4884021173716633
0.05,0.48,0.22,0,1,2,2,0.6293651881963029
0.05,0.48,0.23,0,1,2,2,0.5835179312120147
0.05,0.48,0.24,0,1,2,2,0.9519564395348254
0.05,0.48,0.26,0,1,2,2,0.17449152585926697
0.05,0.48,0.27,0,1,2,2,0.8269632673837464
0.05,0.5,0.24,0,1,2,2,0.18732646758576266
0.06,0.4,0.39,0,1,2,2,0.5910003358305005
0.06,0.4,0.4,0,1,2,2,0.5971630500168885
0.06,0.4,0.41,0,1,2,2,0.01117154757601213
0.06,0.4,0.44,0,1,2,2,0.38204818518238426
0.06,0.4,0.45,0,1,2,2,0.3851676084163671
0.06,0.41,0.36,0,1,2,2,0.8721312319875665
0.06,0.41,0.37,0,1,2,2,0.6933122833808625
0.06,0.41,0.38,0,1,2,2,0.2926926849255551
0.06,0.41,0.39,0,1,2,2,0.5029333172559518
0.06,0.41,0.48,0,1,2,2,0.8233700004837772
0.06,0.42,0.33,0,1,2,2,0.9726960616183646
0.06,0.42,0.34,0,1,2,2,0.7104005366248316
0.06,0.42,0.35,0,1,2,2,0.4447079690096132
0.06,0.42,0.36,0,1,2,2,0.17733025912508538
0.06,0.42,0.37,0,1,2,2,0.73545604615137
0.06,0.43,0.32,0,1,2,2,0.6368184239399568
0.06,0.43,0.33,0,1,2,2,0.20395148267073182
0.06,0.43,0.34,0,1,2,2,0.3099458566627078
0.06,0.47,0.2,0,1,2,2,0.702810343257184
0.06,0.47,0.21,0,1,2,2,0.5791047829219025
0.06,0.47,0.22,0,1,2,2,0.4405567115066731
0.06,0.47,0.23,0,1,2,2,0.147953273217297
0.06,0.47,0.24,0,1,2,2,0.3100284909360056
0.06,0.47,0.25,0,1,2,2,0.08708916670089195
0.06,0.47,0.26,0,1,2,2,0.3373966321113926
0.06,0.47,0.27,0,1,2,2,0.29921797992629706
0.06,0.47,0.28,0,1,2,2,0.9844593368713959
0.06,0.47,0.3,0,1,2,2,0.8753811010495127
0.06,0.47,0.31,0,1,2,2,0.5525197909750972
0.07,0.39,0.42,0,1,2,2,0.7669929194758822
0.07,0.39,0.43,0,1,2,2,0.17220566676822102
0.07,0.39,0.44,0,1,2,2,0.04637627712520498
0.07,0.39,0.45,0,1,2,2,0.6894034638195308
0.07,0.39,0.48,0,1,2,2,0.20891845404118214
0.07,0.39,0.5,0,1,2,2,0.2868650989423429
0.07,0.4,0.39,0,1,2,2,0.8246483220665652
0.07,0.4,0.4,0,1,2,2,0.43272806682941223
0.07,0.4,0.41,0,1,2,2,0.018635716076488507
0.07,0.4,0.42,0,1,2,2,0.3918420128640605
0.07,0.41,0.37,0,1,2,2,0.5462941975257536
0.07,0.41,0.38,0,1,2,2,0.2700034739181092
0.07,0.41,0.39,0,1,2,2,0.17467935986118732
0.07,0.41,0.4,0,1,2,2,0.840448331513528
0.07,0.42,0.36,0,1,2,2,0.16094682569953989
0.07,0.42,0.37,0,1,2,2,0.3563158561376554
0.07,0.46,0.24,0,1,2,2,0.4009059938084363
0.07,0.46,0.25,0,1,2,2,0.2226929871830663
0.07,0.46,0.26,0,1,2,2,0.035431828771393725
0.07,0.46,0.27,0,1,2,2,0.41802542360686346
0.07,0.46,0.28,0,1,2,2,0.03717677005224118
0.07,0.46,0.29,0,1,2,2,0.42432628654051996
0.07,0.46,0.3,0,1,2,2,0.013211534055955099
0.07,0.46,0.31,0,1,2,2,0.006187729410271459
0.07,0.46,0.35,0,1,2,2,0.2531546534075204
0.07,0.5,0.0,0,1,2,2,0.8193659824741815
0.07,0.5,0.01,0,1,2,2,0.526352078669845
0.07,0.5,0.02,0,1,2,2,0.5961682772471306
0.07,0.5,0.03,0,1,2,2,0.022783743225502917
0.07,0.5,0.04,0,1,2,2,0.20127533140745868
0.07,0.5,0.05,0,1,2,2,0.4884421821935945
0.07,0.5,0.06,0,1,2,2,0.08118706449732827
0.07,0.5,0.07,0,1,2,2,0.85719711934766
0.07,0.5,0.08,0,1,2,2,0.19074434203878354
0.07,0.5,0.09,0,1,2,2,0.26816847211583195
0.07,0.5,0.14,0,1,2,2,0.2203860194052112
0.07,0.5,0.15,0,1,2,2,0.5572600059348787
0.08,0.38,0.44,0,1,2,2,0.9017446639525986
0.08,0.38,0.45,0,1,2,2,0.8875427342012188
0.08,0.38,0.46,0,1,2,2,0.31782935284417135
0.08,0.38,0.47,0,1,2,2,0.35793171316784367
0.08,0.38,0.48,0,1,2,2,0.7008183839508604
0.08,0.39,0.41,0,1,2,2,0.8818556910426878
0.08,0.39,0.42,0,1,2,2,0.9310693065592659
0.08,0.39,0.43,0,1,2,2,0.4100197271560262
0.08,0.39,0.44,0,1,2,2,0.021423230046792696
0.08,0.39,0.45,0,1,2,2,0.6195590086008167
0.08,0.4,0.39,0,1,2,2,0.8754695035228224
0.08,0.4,0.4,0,1,2,2,0.6536297610749955
0.08,0.4,0.41,0,1,2,2,0.12914145696288415
0.08,0.4,0.42,0,1,2,2,0.31421032876598076
0.08,0.41,0.4,0,1,2,2,0.48105271578512543
0.08,0.45,0.28,0,1,2,2,0.01988700559657275
0.08,0.45,0.29,0,1,2,2,0.22979314245284854
0.08,0.45,0.3,0,1,2,2,0.4753433976777188
0.08,0.45,0.32,0,1,2,2,0.39436964145832576
0.08,0.45,0.34,0,1,2,2,0.42607575173978773
0.08,0.45,0.35,0,1,2,2,0.8199668298314293
0.08,0.45,0.39,0,1,2,2,0.04343737926494384
0.08,0.48,0.12,0,1,2,2,0.9965316543587761
0.08,0.49,0.02,0,1,2,2,0.9472650059983891
0.08,0.49,0.03,0,1,2,2,0.8175428615160456
0.08,0.49,0.04,0,1,2,2,0.5069550841499222
0.08,0.49,0.05,0,1,2,2,0.14181274779383557
0.08,0.49,0.06,0,1,2,2,0.1454906821437021
0.08,0.49,0.07,0,1,2,2,0.5553314847939816
0.08,0.49,0.08,0,1,2,2,0.8773048813382189
0.08,0.49,0.1,0,1,2,2,0.6902134527741453
0.08,0.49,0.11,0,1,2,2,0.5208175252335536
0.08,0.49,0.12,0,1,2,2,0.19105395238563005
0.08,0.49,0.13,0,1,2,2,0.964247442879639
0.08,0.5,0.0,0,1,2,2,0.7731843249420649
0.08,0.5,0.01,0,1,2,2,0.39088722257446307
0.08,0.5,0.02,0,1,2,2,0.06394037712573208
0.08,0.5,0.03,0,1,2,2,0.6029744606056084
0.09,0.37,0.48,0,1,2,2,0.5296202943566755
0.09,0.37,0.49,0,1,2,2,0.40690120361361437
0.09,0.37,0.5,0,1,2,2,0.2777644114611917
0.09,0.38,0.45,0,1,2,2,0.5530299358145214
0.09,0.38,0.46,0,1,2,2,0.48267243240306357
0.09,0.38,0.47,0,1,2,2,0.15046695007173128
0.09,0.38,0.48,0,1,2,2,0.7023985276149745
0.09,0.39,0.42,0,1,2,2,0.9710694536288429
0.09,0.39,0.43,0,1,2,2,0.5155281710380848
0.09,0.39,0.44,0,1,2,2,0.15793234540072376
0.09,0.39,0.45,0,1,2,2,0.4013256482215297
0.09,0.43,0.37,0,1,2,2,0.8695678274518599
0.09,0.44,0.32,0,1,2,2,0.45878372539552004
0.09,0.44,0.33,0,1,2,2,0.7999823872826539
0.09,0.44,0.38,0,1,2,2,0.8997565912851826
0.09,0.44,0.43,0,1,2,2,0.28540575460350226
0.09,0.47,0.09,0,1,2,2,0.9030540011172548
0.09,0.47,0.13,0,1,2,2,0.9317514904949036
0.09,0.47,0.14,0,1,2,2,0.6957656892136015
0.09,0.47,0.16,0,1,2,2,0.6330879580367963
0.09,0.47,0.19,0,1,2,2,0.9028036007502322
0.09,0.48,0.04,0,1,2,2,0.8798194988030161
0.09,0.48,0.05,0,1,2,2,0.8856543453774464
0.09,0.48,0.06,0,1,2,2,0.6020868227169842
0.09,0.48,0.07,0,1,2,2,0.48025637760733275
0.09,0.48,0.08,0,1,2,2,0.08575320837299216
0.09,0.48,0.09,0,1,2,2,0.36716331615150466
0.09,0.48,0.1,0,1,2,2,0.48502336322357564
0.09,0.48,0.15,0,1,2,2,0.04282524101469676
0.09,0.48,0.16,0,1,2,2,0.6219797292204703
0.09,0.49,0.02,0,1,2,2,0.943507114052295
0.09,0.49,0.03,0,1,2,2,0.7422945867832595
0.09,0.49,0.04,0,1,2,2,0.39254232986007764
0.09,0.49,0.05,0,1,2,2,0.1335006615418166
0.09,0.49,0.06,0,1,2,2,0.7175984344765709
0.09,0.5,0.0,0,1,2,2,0.6325811768020344
0.09,0.5,0.01,0,1,2,2,0.31228601088901087
0.09,0.5,0.04,0,1,2,2,0.46032754685862187
0.1,0.36,0.5,0,1,2,2,0.6990999501727799
0.1,0.37,0.47,0,1,2,2,0.898507507375939
0.1,0.37,0.48,0,1,2,2,0.7469749583929826
0.1,0.37,0.49,0,1,2,2,0.1367074280715599
0.1,0.37,0.5,0,1,2,2,0.1396131409578203
0.1,0.38,0.45,0,1,2,2,0.8453162562181262
0.1,0.38,0.46,0,1,2,2,0.5646791750000659
0.1,0.38,0.47,0,1,2,2,0.04672603846623247
0.1,0.38,0.48,0,1,2,2,0.5143633973665516
0.1,0.42,0.36,0,1,2,2,0.925029029037546
0.1,0.42,0.37,0,1,2,2,0.9663535777145711
0.1,0.42,0.41,0,1,2,2,0.4332881131083468
0.1,0.43,0.47,0,1,2,2,0.38335460614658246
0.1,0.46,0.11,0,1,2,2,0.9540086156147254
0.1,0.46,0.12,0,1,2,2,0.7675380257779238
0.1,0.46,0.13,0,1,2,2,0.6071185447526659
0.1,0.46,0.14,0,1,2,2,0.9920201550488628
0.1,0.46,0.17,0,1,2,2,0.6511735899695594
0.1,0.46,0.18,0,1,2,2,0.2637210760138089
0.1,0.46,0.2,0,1,2,2,0.10246201074019723
0.1,0.46,0.22,0,1,2,2,0.9704706819262867
0.1,0.46,0.23,0,1,2,2,0.9509109423389503
0.1,0.47,0.07,0,1,2,2,0.8999324153119233
0.1,0.47,0.08,0,1,2,2,0.6074482788318676
0.1,0.47,0.09,0,1,2,2,0.6143317378774356
0.1,0.47,0.1,0,1,2,2,0.135380612474151
0.1,0.47,0.11,0,1,2,2,0.016989539730445813
0.1,0.47,0.12,0,1,2,2,0.48156578147521145
0.1,0.47,0.19,0,1,2,2,0.6455361958308288
0.1,0.48,0.05,0,1,2,2,0.9474020353798664
0.1,0.48,0.06,0,1,2,2,0.7004258179417064
0.1,0.48,0.07,0,1,2,2,0.4654235640354898
0.1,0.48,0.08,0,1,2,2,0.1430020468177986
0.1,0.48,0.09,0,1,2,2,0.8680570741972673
0.1,0.49,0.04,0,1,2,2,0.2650422278883582
0.1,0.49,0.05,0,1,2,2,0.0789190484552762
0.1,0.5,0.04,0,1,2,2,0.9209154637402719
0.11,0.37,0.48,0,1,2,2,0.8625524287589883
0.11,0.37,0.49,0,1,2,2,0.44726677263793135
0.11,0.37,0.5,0,1,2,2,0.003453156838105542
0.11,0.41,0.36,0,1,2,2,0.9912792608157588
0.11,0.41,0.37,0,1,2,2,0.9205969403620031
0.11,0.41,0.38,0,1,2,2,0.7907804712904465
0.11,0.41,0.39,0,1,2,2,0.7354763919880725
0.11,0.41,0.4,0,1,2,2,0.6039843790706811
0.11,0.41,0.41,0,1,2,2,0.7054791874086561
0.11,0.41,0.45,0,1,2,2,0.1339408061123919
0.11,0.41,0.46,0,1,2,2,0.7550595424116295
0.11,0.45,0.15,0,1,2,2,0.7063568132400064
0.11,0.45,0.16,0,1,2,2,0.3786582439349502
